BN,BW,LP,FS,FE,MIC,FL,FU,SFBA,FFBA,EFBA,SFBL,FFBL,EFBL,FBA,NNFF,FBN,FBL,LBN,PH,PW,PBS
16.65,5.51,34.76493001,30.9,9.8,3.51,31.85,87.1,62.61,62.26,64.6,22.45,31.7,24,63.16,5,10.2,26.05,1.7,85.5,49.4,0.58
13.9,5.06,38.70536053,26.75,9.75,4.18,30.615,83.95,68.11,56.34,59.6,14.44,21.24,19.06,61.35,5,11.1,18.25,0.8,78.4,44.8,0.49
11.25,6.65,34.00614713,29.65,8.2,4.51,29.03,85,72.28,66.35,57.98,16.5,26.8,20.4,65.54,4.9,10.7,21.23,1.2,65.9,40.6,0.69
12.2,5.84,36.47143602,28.55,8.25,4.38,27.965,84.35,72.83,61.85,59.72,19.6,26.35,20.95,64.8,3.6,9.7,22.3,0.9,68.7,56.3,0.61
13.3,5.55,37.69423252,30.1,6.8,3.345,31.815,84.1,67.78,64.52,64.9,13.75,31.84,19.3,65.73,4.2,11.1,21.63,1.1,79,52.8,0.45
17.8,5.9,35.84877113,28.6,7.05,3.24,33.535,81.85,66.26,63.68,61.28,17,28,16.3,63.74,4.5,11,20.43,1.9,78.5,54.3,0.56
15.65,5.98,37.66488295,24.75,7.9,4.31,28.86,83.9,68.73,63.46,57.93,17.08,23.62,16.9,63.37,4.8,10.3,19.2,1.7,84.9,51.9,0.65
14.8,5.4,36.88040259,31.8,6.4,4.255,33.535,87.25,69.83,59.29,58.52,17.85,20.8,15.65,62.55,4.3,9.9,18.1,1.5,65.7,48.4,0.48
14.55,5.96,37.95755704,29.5,8.7,4.65,32.105,84.25,67.59,63.34,61.56,15.6,24.05,22.45,64.16,4.5,9.6,20.7,1,58.2,46.7,0.65
11.6,6.02,36.91767664,28.05,8.95,4.375,28.715,83.5,69.93,67.51,57.48,21.9,30.7,22.1,64.97,5,10.5,24.9,1.3,81.1,58.7,0.71
14.15,5.51,37.283628,28.05,7.45,4.025,30.905,85.5,74.2,61.95,58.42,15.5,22,19.5,64.86,4.8,10.7,19,1.7,65.4,52.9,0.62
15.7,5.95,35.63800437,31.9,7.7,4.01,30.385,85.65,69.43,71.43,65.44,23.15,26.25,16.15,68.77,4.4,11.1,21.85,1.4,74.3,54.5,0.57
14.4,6.26,38.5170818,25.9,10.15,4.42,28.685,85.35,77.65,74.3,61.69,16.6,24.6,19.7,71.21,4.6,10.6,20.3,1.6,74.2,55.3,0.29
13.15,5.79,36.29254123,30.9,7.7,4.42,31.875,86.15,79.5,64.53,68.03,17.3,25.32,17.78,70.69,4.7,11.1,20.13,2,79.5,50.3,0.32
13.85,5.69,36.26294034,29.9,7.8,4.91,31.33,85.7,69.62,64.9,61.61,14.65,22.8,19,65.38,4.7,9.3,18.82,1.4,52.2,40.7,0.53
17.75,5.69,37.48908908,28.35,7.55,4.625,30.565,83.95,72.63,64.38,60.48,11.1,25.5,21.3,65.83,4.7,9.1,19.3,1.2,53.5,49.3,0.59
14.35,6.42,38.12201584,28.25,7.75,4.95,30.465,84.55,61.19,64.98,59.96,16.45,22.05,16.4,62.04,4.6,9.8,18.3,0.8,60,44.4,0.32
13.95,6.3,38.29555348,28.5,7.45,4.665,30.045,83.55,63.94,61.91,62.53,17.99,27.35,19.7,62.79,4.6,9.6,21.68,1.5,76.1,53.2,0.61
17.1,6.03,37.87200901,27.85,8.7,4.305,29.875,84.9,62.87,62.65,60.43,14,20.7,17.3,61.98,4.3,9.3,17.33,1.1,66.7,40,0.3
12.25,5.53,37.10632873,30.95,8.1,4.245,30.16,86,70.07,70.04,65.13,13.75,25.4,19.45,68.41,4.4,10.6,19.53,1.1,69.5,49.4,0.46
19.3,5.93,40.40145022,26.55,8.55,4.1,29.54,85.05,61.77,60.22,58.5,11.55,18.2,13.15,60.16,4.9,9.4,14.3,0.5,64.2,50.9,0.22
11.8,5.72,35.941944,32.95,8.7,4.16,31.34,87.9,69.72,67.87,56.49,15.8,19.75,8.98,64.7,5.5,9.1,14.84,1.2,72.4,36.6,0.41
15.35,5.48,33.83611707,28.3,7.4,5.18,26.81,82.3,56.43,57.7,58.38,18.9,27.15,21.75,57.5,4.2,10.6,22.6,1.6,69.5,52.7,0.47
19.6,5.26,34.56211796,26.85,7.25,4.585,29.35,83.3,71.93,62.97,65.17,14.25,17.25,14.45,66.69,4.6,9.7,15.32,0.5,64.1,34.6,0.28
19.3,7.34,44.96610921,24.6,10.65,4.955,26.525,84.3,66.81,66.52,65.69,24.95,32.6,25.7,66.34,4.6,9.9,27.75,0.4,82.8,61.5,0.66
11.35,5.23,37.76347991,26.4,7.95,4.25,26.445,82.7,62.03,62.02,63.81,12.09,17,15.15,62.62,4.7,10.1,14.75,0.9,54.6,47.7,0.35
18.4,6.25,39.47294532,25.25,9.55,4.585,26.97,84.1,67.25,63.19,63.58,19.45,27.1,25.31,64.67,4.9,9.6,23.95,1.5,88.3,49,0.6
16.25,5.93,33.01568353,25,9.3,4.13,27.415,84.05,64.02,62.64,62.37,13.6,19.15,13.1,63.01,4.2,10.3,15.28,2.1,67.5,34.1,0.59
17.2,5.88,30.14672631,26.8,9,3.815,32.245,86.2,66.38,63.53,61.53,22.5,24.85,13.3,63.81,4.9,9,20.22,2,63.3,49.9,0.45
14.4,4.38,35.48283091,24.95,6.9,4.915,28.69,84.1,75.7,72.55,74.05,24.05,32.6,26.95,74.1,6.1,11.1,27.87,2.9,75.5,49.2,0.5
15.7,5.591666667,36.25885333,26.7,11.05,4.775,28.585,85.6,61.42,58.72,59.36,14.5,21.7,18.05,59.83333333,4.9,11.3,18.08333333,2,81.1,52.6,0.382
12.65,6.17,38.2570209,23.5,8.45,3.985,27.415,83.3,67.57,63.38,65.66,10.05,11.3,9.35,65.54,4.4,10.9,10.23,1.2,56.8,28.1,0.6
14.5,6.49,38.72873301,25.3,8.7,4.655,27.62,82.8,64.25,59.98,58.89,17.74,27.25,18.98,61.04,5.7,10.3,21.32,2.4,81.4,46.6,0.57
14.2,5.52,36.82956293,24.1,8.75,4.875,26.59,82.5,78.34,65.26,62.04,15.65,22.95,16.85,68.55,5.2,9.9,18.48,2.5,78.2,42.4,0.41
12.45,5.55,32.86641367,25.75,6.75,4.02,29.125,84.2,54.14,51.74,55.72,5.8,7.33,6.8,53.87,4.5,10.6,6.64,2.3,60.3,29.2,0.46
11.95,5.38,38.75991538,25.9,9.15,4.32,29.145,84.75,61.69,60.52,63.34,20.5,22.4,17.85,61.85,5.7,10.5,20.25,2.3,73,40.9,0.55
16.35,5.73,31.96625945,29.85,9.15,4.44,32.31,86.2,64.86,55,60.24,15.3,23.31,20.3,60.03,6.2,10.9,19.64,3.3,80.5,51.5,0.28
16.75,5.79,38.69555949,29.85,9.25,4.395,33.815,86.9,56.32,49.97,49.51,15.15,21.05,14.25,51.93,4.9,10.1,16.82,2,65.2,33.8,0.59
19.05,6.54,43.46730145,29.15,7.8,4.955,30.995,84.7,66.19,60.82,64.84,21.55,23.4,20.3,63.95,5.3,10,21.75,2.3,77.9,48,0.48
16.85,7.14,34.74285926,25,9.55,4.695,29.585,83,76.66,75.19,75.71,26.2,32.3,26.55,75.85,4.8,10.6,28.35,2.2,76.5,53.6,0.32
13.7,4.99,39.0601369,30.4,8.85,4.085,30.675,83.9,65.09,65.54,62.84,18.05,28.3,19.2,64.49,5.1,10.6,21.85,2.6,73.4,43.2,0.38
15.85,5.41,42.74448855,24.95,8.3,4.635,28.335,83.2,65.06,61.46,61.76,13.78,24.75,20.55,62.76,4.4,10,19.69,1,58.6,34.1,0.43
13.8,5.89,37.62292782,31.05,9.15,4.36,32.035,86.05,67.93,59.91,59.93,12.65,14.55,10.4,62.79,5.3,10.4,12.53,2.2,64.3,30.6,0.4
13.45,6.12,43.22727112,27.85,9.45,5.6,28.04,85.2,59.35,62.24,60.95,12.7,18.45,16.13,60.85,4.3,9.9,15.76,2.1,66.8,39.7,0.64
11,5.91,39.43402177,29.05,9.65,4.175,32.45,83.65,73.1,57.4,55.21,12.45,14,13.15,61.9,4.8,9.4,13.2,1.9,60.9,30.7,0.31
17.75,7.05,42.20875384,27.05,7.9,6.1,27.02,84.3,67.14,68.16,62.17,20.25,31.2,21.35,65.82,4.9,9.6,24.27,2,84.3,48.9,0.33
14.1,5.98,39.95780945,29.85,8.9,3.995,30.55,85.6,67.72,62.39,63.9,15.65,26.25,20.5,64.67,4.7,10.4,20.8,1.5,71.1,49.6,0.48
11.95,5.73,40.64131505,29.4,10.25,5.295,28.365,86.6,71.49,65.97,61.31,8.5,27.31,25.1,66.26,5.2,9.8,20.3,1.4,66,34.6,0.61
13.4,5.77,37.86945332,33.5,7.25,4.81,32.68,87.2,66.08,60.46,54.49,26.4,28.4,18.2,60.34,6.1,9.9,24.33,2.5,84.1,56.6,0.49
16.65,6.32,34.52222059,27.25,8.55,3.965,29.35,82.1,60.99,55.22,55.01,9.3,13.89,12.68,57.07,4.7,10.5,11.96,2,78.4,36.4,0.4
16.35,4.44,30.96166342,25.7,6.95,5.58,27.335,85.75,70.43,63.59,64.11,23.05,30.6,33.65,66.04,4.8,10.7,31.13,1.7,81.6,49.2,0.98
11.8,6.07,41.07998783,27.45,8.9,4.76,30.375,85.75,59.43,58.24,59.07,12.5,19.45,12.95,58.91,4.8,10.4,14.97,1.9,84.8,46.7,0.55
11.05,4.69,31.58124786,24.95,8.55,4.325,26.615,81.3,70.43,65.16,66.45,20.15,19.25,18.3,67.35,6.2,9.3,19.23,1.3,75.6,51.3,0.43
13.4,6.46,38.79417561,30.2,9.45,4.19,28.41,83.95,65.43,64.52,62.76,15.05,25.3,14.3,64.24,5.2,11.2,18.22,2.1,88.6,48.3,0.8
12.65,6.07,40.34072596,27.05,9.4,5.02,28.97,84.8,76.52,61.2,62.25,13.77,22.52,17.21,66.66,5.6,11.1,17.83,2,92.3,49.5,0.57
14.45,5.67,38.31137034,25.7,8.4,4.48,30.065,85.7,64.78,62.62,63.11,15.1,23.4,16.75,63.5,4.7,10.5,18.42,2.4,64.2,38,0.33
10.6,6.44,43.64502277,27.25,8.35,5.095,29.13,85.2,66.3,60.04,61.54,11.1,23.35,17.32,62.63,4.5,10.5,17.26,1.4,74.6,43.2,0.56
14.85,4.6,35.95003658,27.7,8.4,5.395,27.49,84,76.75,67.76,66.2,18.65,27.95,23.69,70.24,4.6,11.1,23.43,1.8,79.6,49.4,0.36
12.4,6.32,32.58678661,28.7,9.35,4.025,29.095,85.65,61.56,52.39,62.06,22.4,21.15,14.95,58.67,4.8,9.9,19.5,1.7,75.6,45.4,0.48
11.95,5.43,32.52241439,24.2,9.55,4.175,29.37,83.75,66.15,58.2,57.73,14.2,18,16.25,60.69,4.6,9.5,16.15,1.4,73.1,51.2,0.52
14.95,6.21,35.02886735,25.5,9.1,4.08,29.38,83.7,67.33,62.55,65.53,17.72,24.8,20.04,65.14,4.9,9.5,20.85,1.4,66.9,52.6,0.56
17.65,3.68,31.07380437,22.35,10.05,3.6,26.655,81.2,64.44,71.42,57.18,15.1,27.1,21.6,64.35,4.3,11.8,21.27,1.2,68,49,0.65
15.3,3.77,27.88519192,24.6,9.2,5.765,23.085,76.55,70.44,78.02,79.72,19.5,30.05,25.4,76.06,4.3,11.3,24.98,1.2,87,53.1,0.38
15.25,6.85,34.38879911,36.75,8.8,4.57,30.43,86.8,71.61,70.32,64.19,9.9,13.25,9.15,68.71,5.2,9.6,10.77,1.8,80.3,38.1,0.32
11.5,4.7,34.61000819,24.5,9,3.95,27.52,82.5,77.97,66.82,63.51,10.25,14.77,18.96,69.43,4.2,9.7,14.66,0.8,58.6,37,0.73
13.1,6.82,33.8669525,26.9,9.7,5.06,26.265,84.6,64.24,63.43,57.6,9.75,18.15,17.7,61.76,3.7,10.4,15.2,0.8,78.6,34.1,0.38
12.75,5.18,37.11897118,25.45,10,4.055,28.845,83.75,75.9,56.83,59.38,18.95,30.95,25.55,64.04,4.7,8.8,25.15,1.2,75.8,53.8,0.34
13.85,6.12,36.94467687,25.25,9.95,3.985,28.055,82.6,71.78,64.66,58.33,19.8,22.35,16.05,64.92,5.8,9.6,19.4,2,63.5,44.5,0.55
17.1,6.86,35.84886447,28.7,11.05,4.285,30.82,85.05,74.8,65.62,59.47,8.95,18,18.1,66.63,4.8,9.8,15.02,1.1,68.4,50.7,0.59
12.6,6.02,38.36734329,22.8,10.1,4.32,27.715,83.65,75.69,60.07,57.62,23.4,26.25,17.64,64.46,4.9,9.2,22.43,1.5,69.7,51.9,0.4
15.25,6.1,38.89577109,25.9,8.7,4.51,30.465,85.5,80.66,64.2,60.25,20.35,30.55,22.6,68.37,4.8,11,24.5,1.8,76.5,50.2,0.46
10.5,5.72,40.69831264,26.9,8,4.7,29.38,85.75,65.43,66.47,62.86,7.8,10.5,11.65,64.92,5.8,7.9,9.98,1.5,59.6,25.7,0.33
14.45,6.16,39.65010989,28.2,9.75,4.595,32.37,86.05,68.78,69.92,67.99,8.85,22.15,17.15,68.9,5.4,10.8,16.05,1.6,82.4,48.3,0.84
12.6,5.83,45.29571258,27.45,13.05,4.51,30.235,85.8,68.49,69.75,68.19,10.6,15.9,15.4,68.81,5.4,10.2,13.97,2.2,80.1,42.3,0.64
12.6,5.91,39.55902307,26.45,11.1,4.39,29.885,86.5,71.81,69.94,63.28,13,24.75,18.8,68.34,5.8,10.4,18.85,2.5,61.8,42.5,0.7
9.9,5.6,37.50149082,27.15,8.65,4.525,28.555,84.65,73.49,67.24,67.4,22.4,24.8,15.75,69.38,4.7,10.2,20.98,2.6,68.4,55.2,0.6
17.85,5.2,32.4035266,29.35,8.5,3.58,31.875,85.1,72.35,69.66,60.9,20.8,27.92,22.75,67.64,5.9,10.7,23.82,3.1,79.2,57.5,0.52
7.1,5.59,40.05514885,24.8,9.25,4.125,27.89,83.7,64.18,65.1,66.75,10.6,20.95,19.8,65.34,4.9,10.7,17.12,2.8,85.5,49.3,0.39
10.7,5.28,41.57004311,24.55,11.05,4.17,27.745,84.2,60.22,57.95,60.69,14.05,21.5,15.8,59.62,5.9,9.1,17.12,2.5,75.8,40.3,0.37
16.7,4.96,39.00446367,26.05,9.8,4.205,27.71,84.1,67.24,62.4,62.29,4.8,10.7,8.8,63.98,4.4,11.2,8.1,2.2,54.9,31.7,0.46
10.4,5.66,39.08123754,26.55,8.4,4.75,29.33,84.85,70.51,67.5,64.26,11.15,21.3,17.6,67.42,5.2,10.3,16.68,2.3,67,45.2,0.46
9.8,6.22,41.66571651,22.65,9.45,4.595,27.115,84.1,71.69,60.87,61.76,12.35,20.36,16.95,64.77,5.7,10.6,16.55,2.4,68.9,46.8,0.48
9,5.9,40.06587847,25.55,10.3,4.585,28.105,84.5,71.84,66.07,67.89,11.3,18.8,13.15,68.6,5.6,10,14.42,2.4,57.3,34.2,0.93
12.65,5.85,39.06721182,24.8,11.3,4.515,28.415,84.6,74.55,66.16,64.76,14.3,15.15,12.65,68.49,5.1,9,14.03,2.1,56.6,38.3,0.49
13,5.87,39.60673758,26,12.05,5.105,28.77,84.8,71.74,64.14,69.11,11.9,14.5,11.35,68.33,5.3,9.4,12.58,2.4,57.7,33.1,0.69
23.65,6.22,34.73627295,24.45,8.85,4.86,27.345,83.6,77.25,71.08,66.2,7.9,17.8,22,71.51,4.6,10.7,15.9,1.8,64.6,36.5,0.5
14.6,6.63,37.00189561,25.9,9.35,4.355,31.41,86.15,72,62.46,66.27,24.5,26.95,22.5,66.91,4.4,10.9,24.65,2.3,83,48.5,0.41
9.5,6,41.13465266,23.25,9.45,5.245,26.065,82.4,68.05,60.67,59.74,9.6,11,9.05,62.82,4.3,9.3,9.88,1.7,49.7,30.8,0.38
10.95,5.86,38.23350856,22.2,9.25,4.03,28.255,82.4,81.08,69.63,61.22,8.85,17,13,70.64,4.5,11.2,12.95,1.3,80.2,40.1,0.42
18.1,6.25,37.07224096,24.8,8.05,4.115,28.595,83.9,71.69,71.56,69.59,16.9,20.7,15.6,70.95,4.6,10.6,17.73,2,78.5,48,0.46
14.1,6.49,35.73692099,26.1,9.4,4.19,28.87,84.05,66.93,56.29,58.01,14.55,27.55,25.1,60.41,4.5,10.6,22.4,2,83,54.2,0.37
14.95,5.66,37.87119374,24.95,8.55,4.94,28.815,85.2,69.13,70.58,73.68,8.95,16.45,18.7,71.13,4.9,10.6,14.7,1.9,75.7,41.6,0.61
9.2,5.99,38.64466942,23.75,9.8,3.8,28.84,84.3,72.91,63.94,61.77,16.7,23.2,15.15,66.21,4.5,9.7,18.35,2,72.6,46.1,0.41
12.45,5.41,36.63077429,28.85,7.8,4.3,31.81,87.1,66,67.71,69.01,14.7,21.15,15.9,67.57,5.3,8.9,17.25,2.3,69.7,54.8,0.45
11.1,4.88,40.15124897,27.55,11.25,4.42,28.775,85.8,61.36,58.63,57.73,14.7,24.8,15.85,59.24,4.3,9.1,18.45,1.4,79,44.4,0.28
11.95,4.64,41.49579822,23.9,12.55,4.33,28.4,85.7,65.35,59.26,61.81,11.85,19.85,15.85,62.14,4.8,9.7,15.85,1.5,80.5,48.2,0.33
10.1,5.67,40.39021722,24.95,8.9,4.805,28.6,83.3,68.63,63.67,58.23,13.95,17.8,13.35,63.51,4.3,10.4,15.03,1.6,76.7,51,0.28
13.7,6.24,39.40879375,25.8,9.5,4.67,28.61,85.05,66.14,62.55,65.12,8,17.8,14.85,64.6,5.2,8.9,13.55,1.9,76.7,44.9,0.69
12.25,5.51,44.58809992,27.65,7.65,4.87,27.705,83.8,65.57,56.76,57.62,13.15,22.1,12.3,59.98,3.7,10.4,15.85,1.3,75,46.5,0.63
9.65,5.79,39.73158995,25.05,9.95,4.36,30.12,84.3,70.68,64.31,60.31,13.6,23.15,15.3,65.1,4.6,9.7,17.35,1.9,70,47.4,0.37
10.5,5.45,38.58243748,25,8.35,4.49,27.9,84.6,57.45,53.45,60.12,14.6,20.1,13.35,57.01,3.9,9.8,16.02,1.5,70.2,45.6,0.31
12.95,5.32,38.53853346,25.6,8.05,4.275,28.51,83,65.73,61.66,62.2,7.3,14.9,12.1,63.2,4.4,11.2,11.43,1.7,71.3,44.4,0.41
6.25,6.36,35.10529183,24.7,11.1,4.47,27.495,84.3,65.91,64.37,64.8,15.35,17.95,16,65.03,4.6,9.1,16.43,1.8,56.2,35.5,0.13
12,5.36,31.03697294,26.7,10,3.4,30.095,83.2,56.78,56.97,52.23,11.9,17.05,8.5,55.33,3.6,11.2,12.48,0.2,68,36.4,0.66
7.3,5.48,33.45474063,25.8,10.1,5.05,26.785,84.95,62.6,61.09,62.36,6,7.1,8.95,62.02,3.3,9,7.35,0.8,48.8,38.6,0.37
9.85,6.08,41.77637424,27.75,8.3,4.505,29.63,85.85,72.24,59.15,65.43,10.45,13.25,14.15,65.61,4.4,10.4,12.62,1.5,75.8,37.7,0.47
13.85,7.79,39.68290198,22.85,8.9,4.715,27.82,84.1,69.93,62.97,62.29,17.9,24.35,17.8,65.06,4.8,10.8,20.02,0.7,74.6,41.5,0.67
12.45,6.09,41.03849655,24.8,9.25,4.655,28.085,84.25,68.21,68.36,63.4,11.55,16.1,16.55,66.66,5,9.9,14.73,1.3,81.1,51.6,0.61
11.55,5.07,37.15336283,23.6,11.95,4.455,27.79,84.45,59.61,55.34,51.67,13.2,23.4,16.8,55.54,4.6,9.7,17.8,1.3,60.5,35.3,0.35
13.2,6.92,37.22032015,25.5,10.4,4.52,28.18,84.35,73.14,62.19,65.67,12.1,20,19.55,67,4.8,10.3,17.22,1.8,73.8,44.7,0.31
13.6,5.75,34.60046313,24.95,8.9,4.085,28.335,84.95,61.7,61.73,60.87,14.8,23,15.45,61.43,4.9,9.7,17.75,1.7,76.9,53.1,0.3
15.25,5.48,32.1832421,25.65,8,3.945,29.48,83.15,73.4,71.04,68.34,11.4,15.3,12.5,70.93,4.9,9.9,13.07,1.8,63.5,41.1,0.21
12.85,5.76,34.35403048,28.35,7.55,4.56,29.755,85.55,60.62,60.82,56.89,9.45,19.6,15.75,59.44,5.1,10,14.93,2.3,60.8,33.8,0.36
16.95,5.72,37.77755672,26.6,9.45,4.39,29.67,85.65,66.93,63,64.29,13.5,23.15,23.45,64.74,4.7,10.2,20.03,1.2,68.4,46.7,0.3
15.55,6.64,37.80794999,25.6,9.8,4.69,30.265,86,79.8,72.37,66.88,14.9,22.85,24.45,73.02,4.8,12,20.73,1.9,61.3,46.5,0.31
15.8,5.86,39.33286519,25.2,10.85,4.735,29.25,85.7,70.32,60.99,68.05,10.55,26.2,28.2,66.45,5.4,10,21.65,2.4,70.6,47.5,0.3
16.2,5.46,36.04315211,24.05,10.1,4.47,28.435,85.15,71.25,64.74,66.8,9.15,22.15,17.1,67.6,5.7,10.1,16.13,1.5,86.2,50.8,0.46
12.8,5.69,41.98434846,24.45,11.45,4.64,28.88,83.6,70.7,67.41,65.58,9.55,15.6,16.3,67.9,5,9.4,13.82,2,64.1,39.2,0.47
13.15,4.92,30.82238685,23.55,8.15,4.08,24.47,82.8,73.31,71.28,74.98,7.35,10.85,6.65,73.19,4.5,9.6,8.28,1.6,73.3,31.8,0.31
16.6,5.17,40.1171875,26.05,9.4,4.135,31.61,85,60.49,58.95,59.07,17.05,29.25,20.05,59.5,5.1,9.6,22.12,2.5,76.4,43,0.4
15.4,5.98,39.46499874,28.6,10.8,4.155,29.14,84.1,64.79,64.65,60.87,13.65,16.85,18.95,63.44,5.1,11.2,16.48,2.7,79.1,50.3,0.49
11.95,5.61,39.94996237,22.15,10.95,4.63,26.79,83.3,62.58,58.93,61.02,18,21.15,11.95,60.84,5.9,10,17.03,2.6,64.7,41.4,0.4
12.25,5.21,41.24978511,23.8,9.95,4.08,27.945,84.85,73.63,63.45,70.05,15.2,19.9,16.55,69.04,5.3,10.5,17.22,2.6,78.2,50,0.26
11.2,5.51,41.59266735,24.55,11.5,4.575,29.295,84.75,69.79,63.2,59.89,13.35,23.05,14,64.29,6,10.2,16.8,2.4,74.3,45.7,0.66
15.35,4.68,42.78636384,24.2,10,5.055,28.895,83.75,65.04,59.96,60.29,14.3,20.55,18.2,61.76,5.1,10.5,17.68,2.2,91,57.3,0.28
17.95,5.7,36.81241301,27.25,11.2,4.99,30.485,85.45,72.74,67.05,65.55,14,24.9,19.45,68.45,5,9.9,19.45,3,62.2,45.1,0.32
15.35,6.18,38.43330427,23.8,10.85,4.635,29.53,83.55,64.27,58.05,55.68,19.85,23.7,16.15,59.33,6.4,9.1,19.9,3.8,71.7,45.2,0.33
