DRCK,DRT,RDR
71.43,90.47,1.266554669
61.65,92.62,1.502351987
63.62,90.87,1.428324426
47.03,89.36,1.900063789
71.39,87.68,1.228183219
49.59,94.97,1.915103852
48.75,83.04,1.703384615
50.58,89.81,1.775603005
44.16,88.82,2.011322464
52.37,94.06,1.79606645
67.45,92.6,1.372868792
35.65,84.95,2.382889201
42.57,87.75,2.061310782
40.33,92.8,2.301016613
54.52,79.74,1.462582539
39.94,85.48,2.140210315
48.32,78.95,1.633899007
62.13,80.84,1.301142765
63.24,93.94,1.485452245
55.91,82.37,1.473260597
61.99,86.46,1.394741087
57.86,86.89,1.50172831
56.23,90.31,1.606082163
60.7,85.77,1.413014827
55.51,80.95,1.458295803
73.19,83.13,1.135810903
70.82,82.42,1.163795538
49.65,85.3,1.718026183
76.46,84.53,1.105545383
57.52,82.43,1.433066759
52.67521482,96.03116925,1.823080733
55.92,78.63,1.40611588
60.78,86.79,1.427936821
73.9,91.52,1.238430311
58.99,72.71,1.232581794
47.45,89.93,1.895258166
61.84,81.43,1.316785252
51.85,76.23,1.470202507
60.54,87.5,1.445325405
56.62,72.25,1.276050865
43.73,86.44,1.976675051
43.3,91.43,2.111547344
39.19,87.21,2.22531258
52.97,89.27,1.685293562
65.84,95.09,1.444258809
48.24,79.36,1.645107794
68.42,88.31,1.290704472
48.09,79.46,1.652318569
67.34,90,1.336501337
40.05,80.33,2.005742821
44.55,79.01,1.773512907
46.18,81.27,1.75985275
25.82,89.34,3.460108443
62.52,91.75,1.46753039
55.46,84.38,1.521456906
65.25,82.42,1.263141762
42.21,92.32,2.187159441
25.05,86.05,3.435129741
58.49,87.78,1.500769362
19.21,81.97,4.267048412
51.05,88.04,1.724583741
52.91,73.92,1.397089397
56.99,89.72,1.574311283
66.85,74.3,1.11144353
52.58,89.06,1.693799924
42.5,85.96,2.022588235
70.06,86.18,1.230088496
76.99,90.17,1.171191064
63.86,83.8,1.312245537
67.29,87.48,1.300044583
53.5,92.57,1.730280374
51.55,92.07,1.786032978
45.33,88.35,1.949040371
48.01,87.79,1.82857738
58.77,91.46,1.556236175
49.12,94.12,1.916123779
73.88,86.7,1.173524635
67.83,97.25,1.433731387
67.33,88.22,1.310262884
46.05,86.33,1.874701412
58.07,92.4,1.591183055
56.33,90.28,1.602698385
47.13,88.84,1.884998939
58.62,80.86,1.379392699
57.07,78.51,1.375678991
70.56,87.72,1.243197279
63.03,93.13,1.477550373
50.5,82.68,1.637227723
42.51,76.04,1.788755587
48.52,81.92,1.688375927
46.03,85.78,1.863567239
47.61,85.25,1.790590212
37.75,86.14,2.281854305
37.78,86.39,2.286659608
58.3,94.31,1.617667238
40.1,83.62,2.085286783
44.9,88.14,1.963028953
61.93,84.12,1.358307767
51.32,81.82,1.59431021
53.18,86.31,1.622978563
46.68,92.39,1.979220223
43.33,86.84,2.004154166
58.98,86.98,1.474737199
49.44,94.92,1.919902913
46.06,87.94,1.909248806
47.62,86.51,1.816673667
53.75,80.73,1.501953488
60.41,82.61,1.367488826
69.43,90.87,1.30880023
70.88,94.07,1.327172686
74.88,96.55,1.289396368
58.51,94.21,1.610152111
61.27,87.49,1.427941897
67.29,87.43,1.299301531
72.63,92.25,1.270136307
51.55,88.02,1.707468477
80.44,85.9,1.067876678
70.43,84.52,1.200056794
32.42,82.34,2.539790253
51.91,84.83,1.634174533
66.27,86.45,1.304511845
50.43,91.68,1.817965497
55.89,89.5,1.601359814
27.84,77.93,2.79920977
83.12,93.67,1.126924928
47.69,84.99,1.782134619
37.62,90.05,2.393673578
60.97,89.55,1.468755125
58.88,80.65,1.369735054
73.57,93.54,1.271442164
72.93,93.02,1.275469628
68.79,79.3,1.152783835
74.57,78.58,1.053774977
62.7,73.18,1.167145136
69.67,88.15,1.265250466
46.23,64.83,1.402336145
46.99,82.21,1.749521175
51.94,94.66,1.822487486
71.65,87.56,1.22205164
51.88,87.58,1.688126446
42.16,90.43,2.144924099
47.01,89.4,1.901723038
31.39,86.59,2.758521822
32.27,90.59,2.807251317
58.53,89.48,1.528788655
60.62,87.87,1.44952161
75.95,89.38,1.17682686
31.08,97.95,3.151544402
42.57,90.68,2.130138595
29.73,88.75,2.985200135
67.46,89.7,1.329676846
37.83,88.73,2.345492995
26.78,88.42,3.3017177
55.44,91.37,1.648088023
45.4,77.67,1.710792952
64.87,86.16,1.328194851
51.88,89.13,1.718003084
23.48,79.72,3.395229983
44.28,86.16,1.945799458
54.69,88.85,1.624611446
55.02,85.2,1.548527808
48.54,88.1,1.81499794
55.62,86.83,1.56112909
49,86.89,1.773265306
44.81,88.13,1.966748494
53.43,87.24,1.632790567
17.56,90.35,5.145216401
55.52,87.05,1.567903458
73.76,76.66,1.039316703
54.94,84.13,1.53130688
52.88,85.36,1.614220877
32.01,82.61,2.580756014
59.47,83.82,1.409450143
45.92,87.08,1.896341463
45.69,80.42,1.760122565
57.4,89.91,1.566376307
35.61,92.64,2.601516428
57.7,91.12,1.579202773
55.8,83.82,1.502150538
46.75,77.17,1.650695187
53.28,75.01,1.407845345
48.27,91.64,1.898487674
29.42,78.82,2.679129844
39.35,86.23,2.191359593
47.26,85.2,1.80279306
40.28,88.83,2.20531281
53.68,88.9,1.656110283
66.17,89.45,1.351821067
32.42,88.93,2.74305984
44.19,81.16,1.836614619
38.2,88.49,2.316492147
48.13,90.48,1.879908581
40.28,84.69,2.102532274
60.41,80.27,1.328753518
65.9,82.54,1.252503794
66.74,83.81,1.255768654
69.48,90.26,1.299078872
73.24,88.1,1.202894593
63.15,93.73,1.484243864
83.66,91.45,1.093114989
69.94,80.12,1.145553331
63.56,83.83,1.318911265
53.6,87.99,1.641604478
48.54,81.49,1.67882159
54.07,91.5,1.692250786
54.72,91.29,1.668311404
56.66,86.91,1.53388634
58.19,89.22,1.533253136
85.41,94.97,1.111930687
54.82,93.66,1.708500547
65.41,85.33,1.30454059
43.25,90.38,2.089710983
70.99,90.54,1.2753909
48.99,86.74,1.770565422
63.13,86.66,1.372722953
59.17,86.48,1.461551462
62.08,95.08,1.531572165
65.27,81.97,1.255860273
71.88,91.92,1.278797997
62.81,79.14,1.259990447
74.97,92.77,1.237428305
56.77,86.22,1.518759908
58.85,80.37,1.365675446
37.85,90.07,2.379656539
54.79,89.86,1.640080307
53.39,88.09,1.649934445
62.59,89.21,1.425307557
65.83,84.91,1.28983746
41.99,82.65,1.968325792
50.54,88.57,1.752473288
59.68,88.17,1.477379357
61.28,93.34,1.523172324
46.45,90.27,1.943379978
32.94,88.67,2.691863995
14.66,85.08,5.803547067
37.89,78.15,2.062549485
34.27,84.86,2.476218267
67.66,80.57,1.190806976
62.77,82.18,1.309224152
71.2,82.61,1.160252809
70.06,85.21,1.21624322
80.89,84.61,1.045988379
23.87,89.07,3.731462086
65.33,88.85,1.360018368
59.55,90.51,1.519899244
47.52,83.77,1.7628367
48.35,81.32,1.681902792
64.04,93.88,1.465958776
49.36,82.04,1.662074554
68.42,86.47,1.263811751
59.15,80.33,1.358072697
40.85,84.37,2.065361077
68.93,83.54,1.211954156
60.73,88.02,1.449366046
75.38,88.13,1.169143009
51.65,86.36,1.672023233
68.3,81.93,1.199560761
40.23,84.81,2.108128262
66.44,87.35,1.314720048
49.11,87.79,1.787619629
53.62,89.17,1.662998881
46.18,77.43,1.67669987
58.66,85.19,1.452267303
48.9,87.67,1.792842536
28.8,83.72,2.906944444
62.95,88.45,1.4050834
70.46,87.72,1.24496168
41.81,92.01,2.200669696
17.69,83.07,4.695873375
58.13,84.6,1.455358679
47.14,79.6,1.688587187
46.97,87.76,1.868426655
46.43,81.37,1.752530691
67.91,94.39,1.389927846
62.43,81.68,1.308345347
40.21,90.65,2.254414325
51.31,89.43,1.7429351
66.6,84.6,1.27027027
54.15,93.52,1.727054478
42.77,89.57,2.094224924
36.23,83.6,2.307479989
56.81,89.72,1.579299419
42.79,88.66,2.071979434
45.55,92.82,2.037760703
56.91,82.17,1.443858724
56.74,93.43,1.646633768
71.12,92.44,1.299775028
38.26,72.21,1.887349712
60.46,92.06,1.52265961
47.4,88.1,1.858649789
66.16,91.73,1.386487304
54.31,86.31,1.58921009
50.44,90.1,1.78628073
50.5,93.58,1.853069307
57.6,85.95,1.4921875
37.01,87.29,2.358551743
56.76,91.81,1.617512333
51.28,92.07,1.795436817
53.46,88.74,1.65993266
44.97,81.95,1.822325995
67.74,85.19,1.257602598
48.86,87.78,1.796561605
47.47,86,1.811670529
47.62,86.14,1.808903822
42.68,91.86,2.152296157
64.41,86.69,1.34590902
52.15,82.38,1.579674017
39.06,82.49,2.11187916
32.39,85.13,2.628280333
59.94,86.39,1.441274608
51.25,87.22,1.701853659
50.88,89.03,1.749803459
53.92,89.95,1.668212166
43.82,83.86,1.913738019
44.48,77.78,1.748651079
51.73,93.63,1.80997487
38.18,82.63,2.164222106
52.65,90.47,1.718328585
35.4,74.48,2.103954802
52.79,83.25,1.57700322
30.62,80.52,2.629653821
56.98,92.99,1.631976132
32.8,87.14,2.656707317
42.25,81.3,1.924260355
60.05,84.96,1.414820983
49.43,91.63,1.853732551
53.47,88.67,1.658313073
45.77,81.08,1.771466026
49.13,78.92,1.606350499
48.56,85.3,1.756589786
51.09,88.14,1.72519084
60.46,90.63,1.499007608
60.87,71.84,1.180220141
52.84,85.23,1.612982589
44.01,74.63,1.695750966
37.77,85.83,2.272438443
56.4,90.56,1.605673759
59.42,90.32,1.520026927
53.92,90.5,1.678412463
52.62,80.83,1.536107944
31.3,83.53,2.668690096
34.2,87.7,2.564327485
53.08,90.35,1.702147702
56.6,81.98,1.448409894
49.51,89.41,1.805897798
67.66,88.42,1.306828259
70.53,85.54,1.212817241
58.43,85.53,1.463802841
48.87,80.58,1.648864334
61.39,83.59,1.361622414
53.13,82.52,1.553171466
59.28,85.46,1.441632928
50.2,87.1,1.735059761
46.6,93.19,1.999785408
67.49,89.16,1.321084605
58.33,93.2,1.597805589
59.29,84.35,1.422668241
52.96,89.11,1.682590634
61.31,90.98,1.483934105
49.16,75.51,1.536004882
43.42,83.28,1.918010134
46.24,88.4,1.911764706
44.7,89.69,2.006487696
44.19,91.65,2.073998642
38.69,92.59,2.393124838
46.06,91.28,1.981762918
51.84,86.53,1.669174383
40.31,83.68,2.075911684
50.18,87.66,1.74691112
49.08,79.67,1.623268134
60.56,87.29,1.441380449
61.84,79.5,1.285575679
79.24,83.99,1.059944472
52.96,85.12,1.607250755
49.45,79.33,1.604246714
58.97,87.08,1.476683059
71.73,94.96,1.323853339
60.04,88.48,1.473684211
52.01,90.57,1.741395885
41.99,94.08,2.24053346
67.21,85.98,1.279273918
60.91,87.38,1.434575603
38.74,84.4,2.178626742
